acc,region_id,start,end,region_length,overlap_fraction,d2o_label,n_regions_in_protein,cluster
Q03164,DP01116r001,140,160,21,0.0,0,1,3
O60566,DP01117r001,20,42,23,0.0,0,1,156
P24864,DP01120r001,360,373,14,0.0,0,1,715
Q9Y261,DP01124r001,240,258,19,0.0,0,1,633
P49757,DP01130r001,68,78,11,0.0,0,1,395
P10071,DP01134r001,106,236,131,0.0,0,1,60
Q6FI81,DP01137r001,173,266,94,0.0,0,1,841
P06899,DP01158r001,1,38,38,0.0,0,1,1106
Q9UMS4,DP01161r001,169,194,26,0.0,0,1,563
O14974,DP01163r001,1,40,40,0.0,0,1,168
Q9HAN9,DP01165r001,109,146,38,0.0,0,1,884
P02730,DP01167r001,1,54,54,0.0,0,1,209
O43474,DP01174r001,1,130,130,0.0,0,1,546
Q15797,DP01206r001,217,267,51,0.0,0,1,618
O43312,DP01224r001,739,753,15,0.0,0,1,308
P01137,DP01252r001,240,261,22,0.0,0,1,742
P05386,DP01253r001,63,114,52,0.0,0,1,1120
P12956,DP01254r001,533,609,77,0.0,0,1,432
P13010,DP01255r001,546,565,20,0.0,0,1,332
P41208,DP01259r001,1,22,22,0.0,0,1,1048
Q9H816,DP01268r001,314,335,22,0.0,0,1,519
Q6VMQ6,DP01277r001,938,964,27,0.0,0,1,107
Q68DK7,DP01278r001,558,568,11,0.0,0,1,429
Q9Y3E7,DP01283r001,184,199,16,0.0,0,1,963
P24928,DP01284r001,1773,1970,198,0.0,0,1,32
O43313,DP01288r001,362,823,462,0.0,0,1,266
O14519,DP01303r001,1,60,60,0.0,0,1,1119
Q03518,DP01306r001,1,112,112,0.0,0,1,315
Q9UMX1,DP01312r001,279,360,82,0.0,0,1,593
O60741,DP01317r001,1,93,93,0.0,0,1,223
Q9HCJ0,DP01324r003,1587,1608,22,0.7272727272727273,1,1,35
Q9C0C7,DP01328r001,527,541,15,0.0,0,1,102
P28324,DP01329r001,94,136,43,0.0,0,1,672
O00522,DP01333r001,118,128,11,0.0,0,1,327
O94907,DP01335r001,250,260,11,0.0,0,1,901
Q96B02,DP01337r001,136,145,10,0.0,0,1,1072
P52564,DP01342r001,1,43,43,0.0,0,1,691
Q13469,DP01344r001,131,294,164,0.0,0,1,194
Q9UNL4,DP01347r001,119,188,70,0.0,0,1,920
P45985,DP01400r003,1,86,86,0.1395348837209302,0,1,691
Q01094,DP01427r001,200,301,102,1.0,1,1,664
P14921,DP01441r001,276,318,43,0.0,0,1,656
Q9Y239,DP01446r001,111,138,28,0.0,0,1,191
Q8NHZ8,DP01453r001,26,85,60,0.0,0,1,1155
P60006,DP01454r001,57,121,65,0.0,0,1,1112
Q96DE5,DP01455r001,1,51,51,0.0,0,1,1128
Q01081,DP01456r001,38,152,115,1.0,1,1,930
Q92973,DP01457r001,319,371,53,0.0,0,1,220
Q13188,DP01461r001,314,427,114,0.0,0,1,586
Q96GU1,DP01473r001,20,130,111,0.0,0,1,1100
P11912,DP01486r001,166,226,61,0.0,0,1,958
P40259,DP01487r001,181,229,49,0.0,0,1,952
P22059,DP01491r001,346,379,34,1.0,1,1,207
P08263,DP01506r001,208,222,15,1.0,1,1,962
Q9UQC2,DP01507r001,504,524,21,0.0,0,1,373
O75554,DP01531r001,276,376,101,0.0,0,1,764
Q8WYP5,DP01549r001,1018,2266,1249,0.0,0,1,26
Q99523,DP01551r001,97,108,12,0.0,0,1,260
P33763,DP01552r001,38,52,15,0.0,0,1,1144
Q9UMR2,DP01560r001,55,91,37,1.0,1,1,602
Q12905,DP01564r001,362,390,29,0.0,0,1,744
P12931,DP01570r001,1,84,84,0.0,0,1,514
P52945,DP01597r001,204,283,80,0.0,0,1,878
Q9BRG1,DP01598r001,133,145,13,0.0,0,1,1040
Q14653,DP01614r001,173,188,16,0.0,0,1,678
P20823,DP01620r001,181,200,20,0.0,0,1,412
P29083,DP01633r001,378,393,16,1.0,1,1,660
P09038,DP01644r002,143,160,18,0.0,0,1,872
P35236,DP01646r001,37,52,16,1.0,1,1,785
O75928,DP01675r002,466,479,14,0.0,0,1,421
O14686,DP01676r003,4210,4280,71,0.0,0,1,1
P02549,DP01700r001,1,20,20,0.0,0,1,22
Q5VZK9,DP01701r001,1005,1020,16,0.0,0,1,89
P62318,DP01704r001,82,126,45,0.0,0,1,1107
Q9NT62,DP01720r001,129,158,30,0.0,0,1,837
P05556,DP01748r002,752,798,47,0.3191489361702128,0,1,281
O95718,DP01764r001,169,194,26,0.0,0,1,667
P78560,DP01771r001,95,136,42,0.0,0,1,1007
Q07912,DP01772r001,448,489,42,0.0,0,1,163
P15941,DP01790r002,1184,1198,15,0.0,0,1,111
P53999,DP01804r001,1,60,60,0.0,0,1,1103
O43715,DP01835r001,54,76,23,0.0,0,1,1157
Q92540,DP01844r001,111,143,33,0.0,0,1,130
Q13451,DP01845r001,1,12,12,0.0,0,1,632
P05107,DP01848r001,735,769,35,1.0,1,1,281
P51587,DP01869r004,48,284,237,0.0,0,1,6
Q99075,DP01873r001,73,106,34,0.0,0,1,991
Q96AY2,DP01877r003,369,402,34,0.0,0,1,480
Q9UPR3,DP01878r001,924,946,23,0.0,0,1,171
Q15596,DP01880r001,624,829,206,0.0,0,1,76
P02655,DP01883r001,40,65,26,0.0,0,1,1143
Q9UKT5,DP01884r001,242,271,30,0.0,0,1,747
O14776,DP01893r001,98,108,11,1.0,1,1,142
O60885,DP01898r002,333,349,17,0.0,0,1,93
Q13568,DP01907r001,458,467,10,0.0,0,1,573
Q96RI1,DP01914r001,275,290,16,0.0,0,1,591
Q02078,DP01925r001,75,86,12,0.0,0,1,557
P50553,DP01942r001,1,236,236,0.0,0,1,939
Q9NRY2,DP01943r001,1,62,62,0.0,0,1,1135
P21333,DP01950r001,1,36,36,0.0,0,1,16
P0CF51,DP01967r001,102,112,11,1.0,1,1,1046
P35520,DP01976r001,1,40,40,0.0,0,1,499
Q8TEK3,DP01985r001,333,416,84,0.0,0,1,62
Q14493,DP01987r001,200,224,25,0.0,0,1,896
P36894,DP01990r001,104,120,17,1.0,1,1,518
P16220,DP02003r001,101,160,60,1.0,1,1,819
P47710,DP02005r001,1,185,185,0.0,0,1,1028
Q9H2Y7,DP02007r001,1265,1521,257,0.0,0,1,40
P0DP23,DP02013r002,76,85,10,0.0,0,1,1048
P52272,DP02015r001,41,70,30,1.0,1,1,333
P62805,DP02034r001,1,25,25,0.0,0,1,1137
P28698,DP02096r001,1,13,13,0.0,0,1,330
P60604,DP02100r001,95,109,15,0.0,0,1,938
P30307,DP02126r001,208,225,18,1.0,1,1,611
P02671,DP02130r003,232,581,350,0.0,0,1,234
P61328,DP02160r002,148,181,34,0.0,0,1,924
P16050,DP02162r001,22,162,141,0.0,0,1,386
O00571,DP02192r001,1,167,167,0.0,0,1,338
P02808,DP02207r001,20,62,43,0.0,0,1,1164
Q03519,DP02210r001,1,129,129,0.0,0,1,364
Q99958,DP02231r001,134,144,11,0.0,0,1,569
Q13547,DP02233r001,377,482,106,0.0,0,1,596
P08476,DP02234r001,359,386,28,0.0,0,1,679
P10721,DP02247r001,544,565,22,0.0,0,1,180
P68363,DP02251r001,416,447,32,0.0,0,1,641
Q96PU5,DP02292r001,400,480,81,0.0,0,1,182
Q71UI9,DP02301r001,39,48,10,0.0,0,1,1099
Q15843,DP02302r001,69,81,13,1.0,1,1,1156
Q0JRZ9,DP02303r001,259,274,16,0.0,0,1,275
Q96RF0,DP02309r009,59,224,166,0.0,0,1,415
P53779,DP02328r001,206,231,26,0.0,0,1,622
P13861,DP02333r001,44,90,47,0.0,0,1,723
O60701,DP02338r003,465,494,30,0.0,0,1,580
Q92804,DP02345r001,323,354,32,0.0,0,1,454
Q9BTL3,DP02346r001,2,45,44,1.0,1,1,1115
P51825,DP02349r002,738,760,23,0.0,0,1,122
P0DMV9,DP02353r001,229,306,78,0.0,0,1,392
O14810,DP02360r001,74,83,10,0.0,0,1,1094
O95429,DP02361r001,357,376,20,0.0,0,1,630
Q9H6Z4,DP02364r001,31,45,15,0.0,0,1,484
Q13464,DP02365r001,895,913,19,0.0,0,1,94
P29536,DP02368r001,299,313,15,0.0,0,1,442
Q96T58,DP02375r001,3470,3494,25,0.0,0,1,5
Q15046,DP02382r002,1,70,70,1.0,1,1,447
P08631,DP02383r001,2,79,78,0.0,0,1,514
Q9NYB9,DP02386r001,156,513,358,0.0,0,1,548
Q96GD4,DP02389r001,221,236,16,0.0,0,1,726
Q9NQS7,DP02390r001,883,903,21,0.0,0,1,204
Q8IZD2,DP02393r001,323,339,17,0.0,0,1,43
Q7RTP6,DP02396r001,1881,1990,110,0.0,0,1,30
Q96N21,DP02404r001,136,153,18,0.0,0,1,527
Q8IYW5,DP02405r001,94,111,18,0.0,0,1,479
Q9BTT0,DP02409r001,186,213,28,0.0,0,1,899
P04198,DP02413r001,28,60,33,0.0,0,1,621
P14653,DP02414r001,187,206,20,0.0,0,1,855
P35568,DP02418r001,117,159,43,0.0,0,1,114
Q9BVI0,DP02427r001,70,85,16,0.0,0,1,173
Q5T4W7,DP02428r001,108,120,13,0.0,0,1,966
P15391,DP02431r001,138,152,15,0.0,0,1,495
Q96RS0,DP02445r001,618,633,16,0.0,0,1,248
Q8IU57,DP02446r001,270,299,30,0.0,0,1,539
Q8TEA8,DP02452r001,152,209,58,1.0,1,1,989
Q9UKX7,DP02455r001,48,109,62,0.0,0,1,616
O95400,DP02457r001,256,280,25,0.0,0,1,803
P07199,DP02465r001,583,599,17,0.0,0,1,443
P17480,DP02468r001,547,560,14,0.0,0,1,302
Q15642,DP02473r001,289,303,15,0.0,0,1,441
Q86UE8,DP02475r001,1,200,200,0.0,0,1,296
P09327,DP02510r001,360,613,254,0.0,0,1,261
Q13740,DP02515r001,246,583,338,0.0,0,1,465
P18564,DP02530r001,492,788,297,0.0,0,1,281
S6B291,DP02531r001,240,465,226,0.0,0,1,619
Q07866,DP02532r001,185,208,24,0.0,0,1,477
P56696,DP02533r001,550,593,44,0.0,0,1,355
Q16611,DP02539r001,64,98,35,0.5142857142857142,1,1,983
Q07812,DP02540r001,49,83,35,0.7142857142857143,1,1,1024
P07948,DP02545r001,1,62,62,0.0,0,1,514
Q8NBP7,DP02551r001,31,60,30,0.3333333333333333,0,1,361
P43629,DP02552r001,361,444,84,0.0,0,1,650
Q969R2,DP02559r001,1,184,184,0.0,0,1,207
Q15717,DP02564r001,1,19,19,0.0,0,1,822
P39905,DP02574r001,78,117,40,0.0,0,1,982
Q16647,DP02578r001,319,330,12,0.0,0,1,570
P28827,DP02580r001,589,742,154,0.0,0,1,77
Q96PM5,DP02587r001,187,215,29,0.0,0,1,907
P63241,DP02594r001,1,14,14,0.0,0,1,1068
Q96H20,DP02598r001,1,25,25,0.0,0,1,910
Q86VN1,DP02599r001,149,169,21,0.0,0,1,750
P20020,DP02604r001,1063,1258,196,0.0,0,1,118
P02533,DP02605r001,295,331,37,0.0,0,1,612
Q9UNA0,DP02607r001,557,628,72,0.0,0,1,198
Q8IUQ4,DP02608r001,90,124,35,0.0,0,1,880
Q96PY5,DP02609r001,150,204,55,0.0,0,1,145
Q8N1G2,DP02611r001,126,140,15,0.0,0,1,259
O75817,DP02615r001,1,28,28,0.0,0,1,1085
O14958,DP02630r001,371,399,29,1.0,1,1,731
Q9HC35,DP02645r001,45,64,20,0.0,0,1,179
O95278,DP02647r001,69,79,11,0.0,0,1,817
P30542,DP02651r001,301,326,26,0.0,0,1,711
Q9H5I1,DP02654r001,379,392,14,0.0,0,1,718
Q6ZVN8,DP02661r001,130,145,16,0.0,0,1,680
Q9Y5C1,DP02665r001,420,429,10,0.0,0,1,627
P15848,DP02670r001,406,422,17,0.0,0,1,517
Q9HD36,DP02676r001,107,121,15,0.0,0,1,1001
O75936,DP02678r001,188,198,11,0.0,0,1,746
P23280,DP02680r001,21,31,11,0.0,0,1,847
P13797,DP02682r001,1,20,20,0.0,0,1,413
P53816,DP02684r001,40,57,18,0.0,0,1,1062
Q9BPZ7,DP02693r001,248,522,275,0.0,0,1,534
Q8WUN7,DP02694r001,1,20,20,0.0,0,1,945
Q02363,DP02697r001,1,23,23,0.0,0,1,1096
P54687,DP02698r001,1,21,21,0.0,0,1,749
Q15631,DP02701r001,218,228,11,0.0,0,1,954
P04035,DP02709r001,861,888,28,0.0,0,1,224
Q9BQ50,DP02710r001,159,168,10,0.0,0,1,941
Q9H3P2,DP02712r001,189,528,340,0.0,0,1,524
P18615,DP02713r001,139,363,225,0.0,0,1,756
O60880,DP02714r001,103,128,26,0.0,0,1,1102
O95071,DP02717r001,2738,2747,10,0.0,0,1,13
Q53FT3,DP02719r001,88,106,19,0.0,0,1,1015
Q13526,DP02727r001,39,50,12,0.0,0,1,1060
P42166,DP02728r001,51,110,60,0.0,0,1,356
Q96EP1,DP02729r001,446,472,27,0.0,0,1,384
Q8IWJ2,DP02732r001,1547,1569,23,0.0,0,1,55
P20340,DP02733r001,175,206,32,0.0,0,1,990
P07355,DP02735r001,2,33,32,1.0,1,1,799
Q9NWW9,DP02737r001,40,51,12,0.0,0,1,1062
P08581,DP02738r001,1225,1244,20,0.0,0,1,86
P06756,DP02742r001,868,897,30,0.0,0,1,159
Q92574,DP02744r001,978,992,15,0.0,0,1,126
Q9GZN7,DP02747r004,47,56,10,0.0,0,1,875
P36871,DP02748r001,256,267,12,0.0,0,1,488
Q14181,DP02759r001,1,156,156,0.0,0,1,446
Q13162,DP02764r002,1,75,75,0.0,0,1,892
P01127,DP02770r001,106,119,14,1.0,1,1,927
P49189,DP02783r001,232,255,24,0.0,0,1,581
P05452,DP02801r001,22,46,25,0.0,0,1,1003
P61587,DP02804r001,1,19,19,0.0,0,1,925
P48740,DP02816r001,364,380,17,0.0,0,1,351
Q8IVH8,DP02822r001,315,380,66,0.0,0,1,222
Q9UKY0,DP02823r001,24,51,28,0.0,0,1,1041
Q14019,DP02824r001,132,142,11,0.0,0,1,1083
Q13164,DP02831r001,1,46,46,0.0,0,1,273
Q9Y4F1,DP02833r001,862,909,48,0.0,0,1,161
Q14849,DP02835r001,216,230,15,0.0,0,1,649
O60239,DP02850r001,266,452,187,0.0,0,1,635
Q9BYF1,DP02854r001,769,805,37,0.0,0,1,279
P18206,DP02858r001,844,876,33,0.3333333333333333,0,1,131
P55211,DP02860r001,289,334,46,0.0,0,1,702
Q9Y5S9,DP02868r001,50,63,14,0.0,0,1,1044
Q8N5H7,DP02872r001,756,769,14,0.0,0,1,244
P55789,DP02875r001,81,93,13,0.0,0,1,999
Q8N884,DP02876r001,289,305,17,0.0,0,1,533
Q09428,DP02881r001,621,676,56,0.0,0,1,59
Q10589,DP02885r001,79,89,11,0.0,0,1,1036
Q96E14,DP02895r001,1,16,16,0.0,0,1,1075
Q8NBI3,DP02904r003,25,245,221,0.085972850678733,0,1,798
Q14444,DP02916r001,607,709,103,0.0,0,1,346
P26368,DP02921r001,231,258,28,0.0,0,1,608
Q9Y6I3,DP02930r001,1,18,18,1.0,1,1,474
Q5JRX3,DP02971r003,774,787,14,0.0,0,1,164
O75962,DP02977r001,1494,1507,14,0.0,0,1,8
P04275,DP02981r001,1478,1493,16,0.0,0,1,12
Q53TN4,DP03005r001,231,286,56,0.0,0,1,876
P51787,DP03011r002,574,584,11,0.0,0,1,372
P35269,DP03035r004,55,92,38,0.0,0,1,544
Q96GX5,DP03037r001,855,879,25,0.0,0,1,230
Q00653,DP03039r001,702,725,24,0.0,0,1,217
Q9UBU7,DP03042r001,255,293,39,0.0,0,1,375
Q9BRZ2,DP03063r001,1,17,17,0.0,0,1,309
Q8TEQ6,DP03070r001,1297,1412,116,0.0,0,1,65
Q92499,DP03071r001,72,85,14,0.0,0,1,321
P53420,DP03072r001,1656,1671,16,0.0,0,1,10
Q9H3M7,DP03075r001,300,317,18,0.0,0,1,741
P0DJI8,DP03081r001,74,85,12,0.0,0,1,1111
Q9BV68,DP03088r001,41,66,26,0.0,0,1,842
O00308,DP03092r001,662,702,41,0.0,0,1,233
Q14258,DP03100r001,361,433,73,0.0,0,1,414
O15344,DP03101r001,87,116,30,0.0,0,1,379
P29590,DP03104r001,94,104,11,0.0,0,1,228
P15374,DP03108r001,147,166,20,0.0,0,1,949
Q9BYI3,DP03109r001,149,253,105,0.0,0,1,538
Q6P4R8,DP03115r001,483,495,13,0.0,0,1,101
Q14691,DP03122r001,146,196,51,0.0,0,1,1017
Q9BRX5,DP03123r001,194,216,23,0.0,0,1,975
Q96AE4,DP03131r001,347,377,31,0.0,0,1,344
P35680,DP03135r001,188,230,43,0.0,0,1,494
Q9BYG3,DP03141r001,226,269,44,1.0,1,1,867
Q05397,DP03144r001,565,583,19,0.0,0,1,155
P29317,DP03145r001,761,777,17,0.0,0,1,181
Q86Y38,DP03147r001,232,251,20,0.0,0,1,188
P41227,DP03148r001,161,235,75,0.0,0,1,943
Q13363,DP03151r001,357,378,22,0.0,0,1,658
Q658P3,DP03153r001,1,28,28,0.0,0,1,589
P54578,DP03158r003,484,494,11,0.0,0,1,582
Q9UBR1,DP03159r001,1,32,32,0.0,0,1,751
Q8WVQ1,DP03161r001,71,84,14,0.0,0,1,730
O15247,DP03163r001,55,68,14,0.0,0,1,915
Q9Y696,DP03164r002,160,173,14,0.0,0,1,915
Q9NQC7,DP03169r001,841,857,17,0.0,0,1,190
Q8NBZ7,DP03170r001,395,420,26,0.0,0,1,690
Q16831,DP03171r001,1,15,15,0.0,0,1,845
Q9NRN7,DP03172r001,248,263,16,0.0,0,1,846
Q03692,DP03180r001,521,548,28,0.0,0,1,10
Q17RS7,DP03182r003,243,307,65,0.0,0,1,212
P09919,DP03184r001,157,166,10,0.0,0,1,993
P49257,DP03190r003,176,185,10,1.0,1,1,551
P55145,DP03191r003,162,182,21,0.0,0,1,1034
Q8N1Q8,DP03196r001,102,111,10,0.0,0,1,922
Q96CV9,DP03201r001,416,442,27,0.0,0,1,470
O95696,DP03205r001,63,80,18,0.0,0,1,152
Q9BRT9,DP03211r001,1,20,20,0.0,0,1,961
O60508,DP03214r001,1,82,82,0.0,0,1,468
Q96EQ8,DP03216r001,1,32,32,0.0,0,1,948
P55265,DP03221r001,202,296,95,0.0,0,1,117
Q92783,DP03222r001,140,170,31,0.0,0,1,511
P33316,DP03223r001,1,23,23,0.0,0,1,916
P19957,DP03225r001,23,60,38,0.0,0,1,1116
P26447,DP03228r001,91,101,11,0.0,0,1,1144
Q7KZF4,DP03232r001,660,669,10,0.0,0,1,211
P49915,DP03234r001,312,321,10,0.0,0,1,358
P50148,DP03235r001,1,216,216,0.0,0,1,786
Q9BZE9,DP03237r001,498,553,56,0.0,0,1,496
Q68D10,DP03243r001,571,604,34,0.0,0,1,366
Q9NYV4,DP03248r001,1023,1063,41,0.0,0,1,70
Q9UBW5,DP03250r001,1,37,37,0.0,0,1,485
Q8N300,DP03251r004,1,23,23,0.0,0,1,1162
P16035,DP03255r001,209,220,12,0.0,0,1,965
P08253,DP03256r001,450,460,11,0.0,0,1,387
Q99835,DP03273r001,539,640,102,0.0,0,1,288
Q9Y4K0,DP03274r001,763,774,12,0.0,0,1,295
Q15276,DP03275r001,642,661,20,0.0,0,1,240
P18065,DP03278r001,312,325,14,0.0,0,1,823
Q2MKA7,DP03281r001,131,146,16,1.0,1,1,904
Q92854,DP03295r001,649,677,29,0.0,0,1,241
P31749,DP03300r001,114,144,31,0.0,0,1,598
Q8IW75,DP03303r001,367,377,11,0.0,0,1,709
P36952,DP03304r001,332,343,12,0.0,0,1,765
Q9UMD9,DP03307r001,2,455,454,1.0,1,1,68
Q96MS0,DP03308r001,654,667,14,0.0,0,1,87
O60486,DP03309r001,642,659,18,0.0,0,1,61
P10619,DP03312r001,288,327,40,0.0,0,1,599
P35052,DP03324r002,350,361,12,0.0,0,1,491
P36955,DP03344r001,21,35,15,0.0,0,1,695
O00214,DP03345r001,154,175,22,0.0,0,1,829
Q5T1C6,DP03348r001,81,106,26,0.0,0,1,931
P53778,DP03366r001,354,367,14,0.0,0,1,622
P04554,DP03372r001,46,102,57,1.0,1,1,1140
P20849,DP03378r001,24,41,18,0.0,0,1,202
P83110,DP03380r001,279,289,11,0.0,0,1,601
P98066,DP03382r001,250,277,28,0.0,0,1,885
P13051,DP03397r001,1,92,92,0.0,0,1,840
Q8WXS3,DP03403r001,1,180,180,0.0,0,1,1079
P51397,DP03407r001,1,102,102,0.0,0,1,1141
P80303,DP03424r001,190,420,231,0.1125541125541125,0,1,689
Q9UPP1,DP03444r002,101,113,13,0.0,0,1,151
Q6P1X5,DP03452r001,977,1199,223,0.0,0,1,124
P51513,DP03453r001,125,143,19,0.0,0,1,556
P27635,DP03456r001,95,123,29,0.0,0,1,977
Q9GZZ9,DP03487r001,325,404,80,0.2625,0,1,725
P43026,DP03488r001,382,396,15,0.0,0,1,568
P18075,DP03490r001,293,327,35,0.0,0,1,671
P27361,DP03497r001,1,23,23,0.0,0,1,273
P49789,DP03531r001,107,127,21,0.0,0,1,1074
O95147,DP03533r001,2,23,22,0.0,0,1,1011
Q9UKK9,DP03554r001,1,13,13,0.0,0,1,968
P35813,DP03556r001,369,382,14,0.0,0,1,753
Q96C86,DP03588r001,1,37,37,0.0,0,1,811
P47897,DP03589r001,183,216,34,0.0,0,1,294
Q9NZD4,DP03619r001,92,102,11,0.0,0,1,1142
Q6ZMT4,DP03624r001,1,31,31,0.0,0,1,195
Q9Y4D1,DP03645r001,654,682,29,0.0,0,1,148
Q9UQ80,DP03649r001,363,394,32,0.0,0,1,738
P63104,DP03654r001,234,245,12,0.0,0,1,923
Q9BY41,DP03661r001,1,12,12,0.0,0,1,596
Q12983,DP03666r001,146,158,13,0.0,0,1,1022
Q4LE39,DP03669r001,110,151,42,0.0,0,1,98
Q8TDY2,DP03671r001,1543,1552,10,0.0,0,1,58
P55285,DP03681r001,592,607,16,0.0,0,1,285
Q6DD88,DP03688r001,1,21,21,0.0,0,1,508
Q9H9R9,DP03700r001,1,158,158,0.0,0,1,1065
A0A1B0GTR3,DP03704r001,1,108,108,0.0,0,1,1132
Q9BXW4,DP03711r001,1,12,12,0.0,0,1,1076
Q99623,DP03712r001,246,265,20,0.0,0,1,858
P40939,DP03726r001,637,647,11,0.0,0,1,303
Q8IYT8,DP03729r001,168,177,10,0.0,0,1,165
Q9UHK0,DP03731r001,486,495,10,0.0,0,1,579
Q8NER1,DP03732r001,2,100,99,0.0,0,1,232
Q9Y5S1,DP03733r001,2,73,72,0.0,0,1,232
Q8NET8,DP03734r001,2,119,118,0.0,0,1,232
Q96QZ7,DP03743r001,555,580,26,0.0,0,1,69
Q92871,DP03749r001,1,11,11,0.0,0,1,906
A0A090N8E9,DP03755r001,735,751,17,0.0,0,1,312
Q00266,DP03811r001,1,13,13,0.0,0,1,736
Q9BU02,DP03814r001,215,230,16,0.0,0,1,950
P26196,DP03820r001,81,93,13,0.0,0,1,594
Q9H9E3,DP03833r001,525,536,12,0.0,0,1,291
A4D126,DP03834r001,319,334,16,0.0,0,1,640
Q6PI48,DP03836r001,631,645,15,0.0,0,1,399
O00548,DP03838r001,443,551,109,0.0,0,1,339
Q92785,DP03839r001,235,249,15,0.0,0,1,740
P37268,DP03842r001,315,327,13,0.0,0,1,700
Q9NQX3,DP03848r001,1,12,12,0.0,0,1,328
P35475,DP03856r002,643,653,11,0.0,0,1,393
P05019,DP03857r001,70,90,21,0.0,0,1,1019
O95822,DP03865r001,344,371,28,0.0,0,1,583
Q9Y4U1,DP03867r001,231,282,52,0.0,0,1,882
O75970,DP03872r001,1171,1183,13,0.0,0,1,28
P42898,DP03873r001,161,171,11,0.0,0,1,389
O43776,DP03877r001,98,110,13,0.0,0,1,502
P01111,DP03882r001,59,70,12,0.0,0,1,995
P61956,DP03888r001,1,14,14,0.0,0,1,1145
Q16625,DP03889r001,383,415,33,0.0,0,1,532
Q01968,DP03890r002,697,729,33,0.0,0,1,216
P00439,DP03892r003,1,20,20,0.0,0,1,638
O75151,DP03894r001,60,79,20,0.0,0,1,144
Q9UII6,DP03897r001,1,24,24,0.0,0,1,967
P84243,DP03908r001,1,38,38,0.0,0,1,1089
Q14011,DP03917r001,90,172,83,0.0,0,1,1049
Q13586,DP03922r001,395,404,10,0.0,0,1,365
P78352,DP03924r001,1,71,71,0.0,0,1,337
Q9NRI5,DP03931r001,718,771,54,0.0,0,1,247
Q16620,DP03945r001,385,426,42,0.0,0,1,268
P43034,DP03953r002,298,307,10,0.0,0,1,716
P60709,DP03957r001,33,78,46,0.0,0,1,766
P55263,DP03960r001,348,362,15,0.0,0,1,780
Q10567,DP03971r001,1,13,13,0.0,0,1,192
P14867,DP03975r001,351,410,60,0.0,0,1,607
P28472,DP03976r001,338,439,102,0.0,0,1,610
Q9UN86,DP03991r001,45,54,10,0.0,0,1,597
